Data;Nr. Operações;Volume;Média;Fator Diário;Mínima;Máxima;Moda;Dsv Pdr;Taxa SELIC
2014-03-06;7;2176250,93;10,55;1,00039809;-;-;-;-;10,65%
2014-03-07;8;2235265,59;10,55;1,00039809;-;-;-;-;10,65%
2014-03-10;7;2260149,81;10,55;1,00039809;-;-;-;-;10,65%
2014-03-11;9;2292883,32;10,55;1,00039809;-;-;-;-;10,65%
2014-03-12;9;2287609,24;10,55;1,00039809;-;-;-;-;10,65%
2014-03-13;8;2214705,65;10,55;1,00039809;-;-;-;-;10,65%
2014-03-14;7;2182055,36;10,55;1,00039809;-;-;-;-;10,65%
2014-03-17;8;2134443,35;10,55;1,00039809;-;-;-;-;10,65%
2014-03-18;9;2160694,81;10,55;1,00039809;-;-;-;-;10,65%
2014-03-19;10;2155821,89;10,59;1,00039952;10,45;10,59;10,57;0,01382;10,65%
2014-03-20;10;2133936,51;10,59;1,00039952;10,45;10,59;10,57;0,016882;10,65%
2014-03-21;10;2125413,51;10,59;1,00039952;10,45;10,59;10,57;0,012166;10,65%
2014-03-24;11;2130184,08;10,59;1,00039952;10,45;10,59;10,57;0,013528;10,65%
2014-03-25;11;2140550,08;10,59;1,00039952;10,45;10,59;10,5;0,018028;10,65%
2014-03-26;11;2113424,2;10,59;1,00039952;10,45;10,59;10,57;0,015748;10,65%
2014-03-27;9;2059769,93;10,55;1,00039809;-;-;-;-;10,65%
2014-03-28;7;2046396,37;10,55;1,00039809;-;-;-;-;10,65%
2014-03-31;7;1995100,84;10,55;1,00039809;-;-;-;-;10,65%
2014-04-01;8;1953912,2;10,55;1,00039809;-;-;-;-;10,65%
2014-04-02;4;1995794,02;10,55;1,00039809;-;-;-;-;10,65%
2014-04-03;5;2107630,66;10,8;1,00040705;-;-;-;-;10,90%
2014-04-04;4;2096623,75;10,8;1,00040705;-;-;-;-;10,90%
2014-04-07;5;2101533,8;10,8;1,00040705;-;-;-;-;10,90%
2014-04-08;5;2074842,24;10,8;1,00040705;-;-;-;-;10,90%
2014-04-09;6;2070190,75;10,8;1,00040705;-;-;-;-;10,90%
2014-04-10;7;2053468,26;10,8;1,00040705;-;-;-;-;10,90%
2014-04-11;5;2011447,53;10,8;1,00040705;-;-;-;-;10,90%
2014-04-14;7;2010435,81;10,8;1,00040705;-;-;-;-;10,90%
2014-04-15;6;1973982,14;10,8;1,00040705;-;-;-;-;10,90%
2014-04-16;5;1927777,9;10,8;1,00040705;-;-;-;-;10,90%
2014-04-17;5;1904639,89;10,8;1,00040705;-;-;-;-;10,90%
2014-04-22;4;1898633,87;10,8;1,00040705;-;-;-;-;10,90%
2014-04-23;6;1903638,74;10,8;1,00040705;-;-;-;-;10,90%
2014-04-24;5;1868119,19;10,8;1,00040705;-;-;-;-;10,90%
2014-04-25;6;1859306,17;10,8;1,00040705;-;-;-;-;10,90%
2014-04-28;6;1818476,82;10,8;1,00040705;-;-;-;-;10,90%
2014-04-29;5;1841214,97;10,8;1,00040705;-;-;-;-;10,90%
2014-04-30;5;1790472,55;10,8;1,00040705;-;-;-;-;10,90%
2014-05-02;4;1775156,53;10,8;1,00040705;-;-;-;-;10,90%
2014-05-05;4;1908467,52;10,8;1,00040705;-;-;-;-;10,90%
2014-05-06;7;2036485,85;10,8;1,00040705;-;-;-;-;10,90%
2014-05-07;6;2010779,35;10,8;1,00040705;-;-;-;-;10,90%
2014-05-08;6;2008654,32;10,8;1,00040705;-;-;-;-;10,90%
2014-05-09;6;1993920,01;10,8;1,00040705;-;-;-;-;10,90%
2014-05-12;6;2001847,17;10,8;1,00040705;-;-;-;-;10,90%
2014-05-13;7;1995374,93;10,8;1,00040705;-;-;-;-;10,90%
2014-05-14;6;1937408,91;10,8;1,00040705;-;-;-;-;10,90%
2014-05-15;5;1878478,95;10,8;1,00040705;-;-;-;-;10,90%
2014-05-16;6;1860320,89;10,8;1,00040705;-;-;-;-;10,90%
2014-05-19;6;1851142,98;10,8;1,00040705;-;-;-;-;10,90%
2014-05-20;6;1847918,62;10,8;1,00040705;-;-;-;-;10,90%
2014-05-21;6;1841627,89;10,8;1,00040705;-;-;-;-;10,90%
2014-05-22;5;1797558,15;10,8;1,00040705;-;-;-;-;10,90%
2014-05-23;5;1783513,19;10,8;1,00040705;-;-;-;-;10,90%
2014-05-26;4;1777977,12;10,8;1,00040705;-;-;-;-;10,90%
2014-05-27;7;1749373,09;10,8;1,00040705;-;-;-;-;10,90%
2014-05-28;7;1745216,22;10,8;1,00040705;-;-;-;-;10,90%
2014-05-29;7;1783799,21;10,8;1,00040705;-;-;-;-;10,90%
2014-05-30;7;1744808,68;10,8;1,00040705;-;-;-;-;10,90%
2014-06-02;7;1686568,85;10,8;1,00040705;-;-;-;-;10,90%
2014-06-03;5;1819263,88;10,8;1,00040705;-;-;-;-;10,90%
2014-06-04;5;1917008,29;10,8;1,00040705;-;-;-;-;10,90%
2014-06-05;8;2013781,35;10,8;1,00040705;-;-;-;-;10,90%
2014-06-06;7;1999684,59;10,8;1,00040705;-;-;-;-;10,90%
2014-06-09;10;2011962,05;10,84;1,00040849;10,7;11,05;10,7;0,021331;10,90%
2014-06-10;6;1916754,77;10,8;1,00040705;-;-;-;-;10,90%
2014-06-11;7;1906407,58;10,8;1,00040705;-;-;-;-;10,90%
2014-06-12;8;1898491,78;10,8;1,00040705;-;-;-;-;10,90%
2014-06-13;6;1869304,4;10,8;1,00040705;-;-;-;-;10,90%
2014-06-16;6;1849800,45;10,8;1,00040705;-;-;-;-;10,90%
2014-06-17;7;1850114,81;10,8;1,00040705;-;-;-;-;10,90%
2014-06-18;6;1844263,4;10,8;1,00040705;-;-;-;-;10,90%
2014-06-20;6;1854464,02;10,8;1,00040705;-;-;-;-;10,90%
2014-06-23;6;1802537,99;10,8;1,00040705;-;-;-;-;10,90%
2014-06-24;7;1810034,7;10,8;1,00040705;-;-;-;-;10,90%
2014-06-25;7;1801988,11;10,8;1,00040705;-;-;-;-;10,90%
2014-06-26;8;1795284,98;10,8;1,00040705;-;-;-;-;10,90%
2014-06-27;7;1782156,38;10,8;1,00040705;-;-;-;-;10,90%
2014-06-30;6;1762532,24;10,8;1,00040705;-;-;-;-;10,90%
2014-07-01;7;1785927,36;10,8;1,00040705;-;-;-;-;10,90%
2014-07-02;6;1922961,24;10,8;1,00040705;-;-;-;-;10,90%
2014-07-03;6;2127699,67;10,8;1,00040705;-;-;-;-;10,90%
2014-07-04;6;2126817,74;10,8;1,00040705;-;-;-;-;10,90%
2014-07-07;7;2101197,82;10,8;1,00040705;-;-;-;-;10,90%
2014-07-08;7;2135857,13;10,8;1,00040705;-;-;-;-;10,90%
2014-07-09;7;2096973,72;10,8;1,00040705;-;-;-;-;10,90%
2014-07-10;7;2089165,01;10,8;1,00040705;-;-;-;-;10,90%
2014-07-11;8;2091638,38;10,8;1,00040705;-;-;-;-;10,90%
2014-07-14;8;2081528,08;10,8;1,00040705;-;-;-;-;10,90%
2014-07-15;8;2027018,17;10,8;1,00040705;-;-;-;-;10,90%
2014-07-16;7;2035786,96;10,8;1,00040705;-;-;-;-;10,90%
2014-07-17;7;2030346,93;10,8;1,00040705;-;-;-;-;10,90%
2014-07-18;7;2025393,55;10,8;1,00040705;-;-;-;-;10,90%
2014-07-21;8;2068631,859;10,8;1,00040705;-;-;-;-;10,90%
2014-07-22;8;2117919,04;10,8;1,00040705;-;-;-;-;10,90%
2014-07-23;8;2074144,08;10,8;1,00040705;-;-;-;-;10,90%
2014-07-24;8;2072525,88;10,8;1,00040705;-;-;-;-;10,90%
2014-07-25;8;1943764,34;10,8;1,00040705;-;-;-;-;10,90%
2014-07-28;7;1978058,51;10,8;1,00040705;-;-;-;-;10,90%
2014-07-29;7;1959396,99;10,8;1,00040705;-;-;-;-;10,90%
2014-07-30;8;1914941,44;10,8;1,00040705;-;-;-;-;10,90%
2014-07-31;8;1885795,44;10,8;1,00040705;-;-;-;-;10,90%
