Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;6.807.933.951;3,901
BBSE3;BBSEGURIDADE;ON  ED  NM;2.924.378.557;4,668
BRAP4;BRADESPAR;PN      N1;3.354.020.251;2,795
BBAS3;BRASIL;ON      NM;2.826.151.718;3,662
CCRO3;CCR SA;ON      NM;5.624.631.919;3,37
CPLE6;COPEL;PNB     N2;7.522.104.524;3,524
CPFE3;CPFL ENERGIA;ON      NM;2.514.278.048;3,701
ENGI11;ENERGISA;UNT ED  N2;1.425.983.552;3,111
EGIE3;ENGIE BRASIL;ON      NM;2.073.874.078;4,273
EQTL3;EQUATORIAL;ON  ES  NM;2.674.107.425;4,244
FLRY3;FLEURY;ON  EJ  NM;4.621.181.088;3,241
GOAU4;GERDAU MET;PN  ED  N1;5.480.265.605;2,495
ITSA4;ITAUSA;PN      N1;8.725.287.214;4,277
ITUB4;ITAUUNIBANCO;PN      N1;2.538.386.998;4,184
KLBN11;KLABIN S/A;UNT     N2;3.704.238.230;3,6
MULT3;MULTIPLAN;ON      N2;2.575.180.140;3,083
RADL3;RAIADROGASIL;ON      NM;2.650.403.370;3,319
RAIL3;RUMO S.A.;ON      NM;3.091.417.831;3,237
SBSP3;SABESP;ON      NM;859.305.888;3,789
SANB11;SANTANDER BR;UNT;2.418.290.973;3,327
SLCE3;SLC AGRICOLA;ON      NM;3.612.169.313;2,874
SUZB3;SUZANO S.A.;ON      NM;1.255.551.181;3,106
TAEE11;TAESA;UNT EDJ N2;3.343.401.020;5,271
VIVT3;TELEF BRASIL;ON;1.597.905.431;3,71
TIMS3;TIM;ON      NM;4.108.433.892;3,333
TRPL4;TRAN PAULIST;PN      N1;2.823.296.633;3,155
VALE3;VALE;ON      NM;1.046.326.731;2,65
WEGE3;WEG;ON      NM;1.743.668.913;4,1
