Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;113.777.586;0,342
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,328
ABEV3;AMBEV S/A;ON;4.394.245.879;13,482
ANIM3;ANIMA;ON  ED  NM;257.038.629;0,218
ASAI3;ASSAI;ON      NM;1.349.217.892;3,27
AZZA3;AZZAS 2154;ON      NM;122.670.748;1,52
BLAU3;BLAU;ON      NM;29.830.740;0,093
AGRO3;BRASILAGRO;ON      NM;63.815.593;0,396
BRFS3;BRF SA;ON      NM;835.221.269;5,03
CAML3;CAMIL;ON      NM;94.784.379;0,214
CRFB3;CARREFOUR BR;ON      NM;533.990.587;1,182
CEAB3;CEA MODAS;ON      NM;103.292.235;0,236
COGN3;COGNA ON;ON  ATZ NM;1.814.903.540;0,611
CURY3;CURY S/A;ON      NM;127.608.925;0,72
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,254
CYRE3;CYRELA REALT;ON      NM;265.784.616;1,397
DASA3;DASA;ON      NM;145.423.906;0,116
PNVL3;DIMED;ON      NM;71.294.090;0,185
DIRR3;DIRECIONAL;ON      NM;108.668.381;0,755
EVEN3;EVEN;ON      NM;191.840.882;0,303
EZTC3;EZTEC;ON      NM;91.514.307;0,322
FLRY3;FLEURY;ON  EJ  NM;240.822.651;0,904
GFSA3;GAFISA;ON      NM;89.285.651;0,063
GRND3;GRENDENE;ON      NM;267.988.482;0,4
GMAT3;GRUPO MATEUS;ON      NM;463.952.163;0,864
NTCO3;GRUPO NATURA;ON      NM;849.346.756;2,817
SBFG3;GRUPO SBF;ON      NM;146.964.776;0,615
GUAR3;GUARARAPES;ON      NM;81.927.760;0,172
HAPV3;HAPVIDA;ON      NM;4.394.332.306;4,751
HYPE3;HYPERA;ON      NM;409.490.388;3,088
MYPK3;IOCHP-MAXION;ON      NM;130.262.282;0,362
JALL3;JALLESMACHAD;ON      NM;96.209.287;0,156
JBSS3;JBS;ON  ED  NM;1.134.986.472;9,723
JHSF3;JHSF PART;ON      NM;299.252.184;0,316
LAVV3;LAVVI;ON  ED  NM;73.850.129;0,153
RENT3;LOCALIZA;ON      NM;863.138.188;8,794
LREN3;LOJAS RENNER;ON      NM;951.452.770;3,826
MDIA3;M.DIASBRANCO;ON      NM;66.033.716;0,442
MGLU3;MAGAZ LUIZA;ON      NM;351.757.412;1,151
MRFG3;MARFRIG;ON      NM;331.799.687;1,143
MATD3;MATER DEI;ON      NM;108.613.172;0,12
LEVE3;METAL LEVE;ON      NM;52.865.876;0,391
BEEF3;MINERVA;ON      NM;261.036.182;0,485
MTRE3;MITRE REALTY;ON      NM;62.641.245;0,059
MBLY3;MOBLY;ON      NM;44.444.445;0,032
MDNE3;MOURA DUBEUX;ON      NM;53.415.493;0,187
MOVI3;MOVIDA;ON      NM;124.051.424;0,225
MRVE3;MRV;ON      NM;375.130.280;0,669
ODPV3;ODONTOPREV;ON      NM;257.037.168;0,715
ONCO3;ONCOCLINICAS;ON      NM;243.999.267;0,375
PCAR3;P.ACUCAR-CBD;ON      NM;379.400.826;0,294
PGMN3;PAGUE MENOS;ON      NM;181.297.489;0,144
PETZ3;PETZ;ON      NM;314.729.428;0,359
PLPL3;PLANOEPLANO;ON      NM;54.382.044;0,158
QUAL3;QUALICORP;ON      NM;278.477.812;0,123
LJQQ3;QUERO-QUERO;ON      NM;195.072.711;0,194
RADL3;RAIADROGASIL;ON      NM;1.280.079.284;8,583
RDOR3;REDE D OR;ON      NM;1.144.776.793;8,946
SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,997
SEER3;SER EDUCA;ON      NM;52.255.107;0,078
SLCE3;SLC AGRICOLA;ON      NM;194.217.908;0,828
SMFT3;SMART FIT;ON      NM;307.405.718;1,709
TEND3;TENDA;ON      NM;121.681.013;0,4
TRIS3;TRISUL;ON      NM;71.441.396;0,085
VAMO3;VAMOS;ON      NM;498.860.020;1,003
VIVA3;VIVARA S.A.;ON      NM;125.912.025;0,799
VVEO3;VIVEO;ON      NM;182.249.113;0,087
VULC3;VULCABRAS;ON  ED  NM;95.400.547;0,404
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,707
ZAMP3;ZAMP S.A.;ON;157.143.176;0,13
