SETOR ECONÔMICO;SUBSETOR;SEGMENTO;CÓDIGO
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RRRP
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;CSAN
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RPMG
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PETR
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RECV
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;PRIO
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;RAIZ
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;UGPA
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição;VBBR
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;LUPA
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OPCT
Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços;OSXB
Materiais Básicos;Mineração;Minerais Metálicos;AURA
Materiais Básicos;Mineração;Minerais Metálicos;BRAP
Materiais Básicos;Mineração;Minerais Metálicos;CBAV
Materiais Básicos;Mineração;Minerais Metálicos;CMIN
Materiais Básicos;Mineração;Minerais Metálicos;LTEL
Materiais Básicos;Mineração;Minerais Metálicos;LTLA
Materiais Básicos;Mineração;Minerais Metálicos;VALE
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;FESA
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GGBR
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;GOAU
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;CSNA
Materiais Básicos;Siderurgia e Metalurgia;Siderurgia;USIM
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;MGEL
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;PATI
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço;TKNO
Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre;PMAM
Materiais Básicos;Químicos;Petroquímicos;BRKM
Materiais Básicos;Químicos;Petroquímicos;DEXP
Materiais Básicos;Químicos;Fertilizantes e Defensivos;FHER
Materiais Básicos;Químicos;Fertilizantes e Defensivos;NUTR
Materiais Básicos;Químicos;Fertilizantes e Defensivos;VITT
Materiais Básicos;Químicos;Químicos Diversos;CRPG
Materiais Básicos;Químicos;Químicos Diversos;UNIP
Materiais Básicos;Madeira e Papel;Madeira;DXCO
Materiais Básicos;Madeira e Papel;Madeira;EUCA
Materiais Básicos;Madeira e Papel;Papel e Celulose;KLBN
Materiais Básicos;Madeira e Papel;Papel e Celulose;MSPA
Materiais Básicos;Madeira e Papel;Papel e Celulose;NEMO
Materiais Básicos;Madeira e Papel;Papel e Celulose;SUZB
Materiais Básicos;Embalagens;Embalagens;RANI
Materiais Básicos;Materiais Diversos;Materiais Diversos;SNSY
Bens Industriais;Construção e Engenharia;Produtos para Construção;ETER
Bens Industriais;Construção e Engenharia;Produtos para Construção;HAGA
Bens Industriais;Construção e Engenharia;Produtos para Construção;PTBL
Bens Industriais;Construção e Engenharia;Construção Pesada;AZEV
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;SOND
Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;EMBR
Bens Industriais;Material de Transporte;Material Rodoviário;FRAS
Bens Industriais;Material de Transporte;Material Rodoviário;POMO
Bens Industriais;Material de Transporte;Material Rodoviário;RAPT
Bens Industriais;Material de Transporte;Material Rodoviário;RCSL
Bens Industriais;Material de Transporte;Material Rodoviário;RSUL
Bens Industriais;Material de Transporte;Material Rodoviário;TUPY
Bens Industriais;Material de Transporte;Material Rodoviário;MWET
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;SHUL
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;WEGE
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;EALT
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;AERI
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;ARML
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;BDLL
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;INEP
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;KEPL
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;FRIO
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;MILS
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;NORD
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;PTCA
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;ROMI
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;MTSA
Bens Industriais;Máquinas e Equipamentos;Armas e Munições;TASA
Bens Industriais;Transporte;Linhas Aéreas de Passageiros;AZUL
Bens Industriais;Transporte;Linhas Aéreas de Passageiros;GOLL
Bens Industriais;Transporte;Transporte Ferroviário;FRRN
Bens Industriais;Transporte;Transporte Ferroviário;VSPT
Bens Industriais;Transporte;Transporte Ferroviário;MRSA
Bens Industriais;Transporte;Transporte Ferroviário;RAIL
Bens Industriais;Transporte;Transporte Hidroviário;HBSA
Bens Industriais;Transporte;Transporte Hidroviário;LOGN
Bens Industriais;Transporte;Transporte Hidroviário;LUXM
Bens Industriais;Transporte;Transporte Rodoviário;JSLG
Bens Industriais;Transporte;Transporte Rodoviário;TGMA
Bens Industriais;Transporte;Exploração de Rodovias;CCRO
Bens Industriais;Transporte;Exploração de Rodovias;CRTE
Bens Industriais;Transporte;Exploração de Rodovias;ECOR
Bens Industriais;Transporte;Exploração de Rodovias;RDVT
Bens Industriais;Transporte;Exploração de Rodovias;TPIS
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;AGRU
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;HMOB
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;IVPR
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;PSVM
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;SAIP
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;STBP
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;PORT
Bens Industriais;Serviços Diversos;Serviços Diversos;ATMP
Bens Industriais;Serviços Diversos;Serviços Diversos;BBML
Bens Industriais;Serviços Diversos;Serviços Diversos;DTCY
Bens Industriais;Serviços Diversos;Serviços Diversos;ALPK
Bens Industriais;Serviços Diversos;Serviços Diversos;GGPS
Bens Industriais;Serviços Diversos;Serviços Diversos;PRNR
Bens Industriais;Serviços Diversos;Serviços Diversos;SEQL
Bens Industriais;Serviços Diversos;Serviços Diversos;VLID
Bens Industriais;Comércio;Material de Transporte;EPAR
Bens Industriais;Comércio;Material de Transporte;MMAQ
Bens Industriais;Comércio;Material de Transporte;RBNS
Bens Industriais;Comércio;Material de Transporte;WLMM
Consumo não Cíclico;Agropecuária;Agricultura;TTEN
Consumo não Cíclico;Agropecuária;Agricultura;GRAO
Consumo não Cíclico;Agropecuária;Agricultura;AGXY
Consumo não Cíclico;Agropecuária;Agricultura;APTI
Consumo não Cíclico;Agropecuária;Agricultura;SOJA
Consumo não Cíclico;Agropecuária;Agricultura;AGRO
Consumo não Cíclico;Agropecuária;Agricultura;CTCA
Consumo não Cíclico;Agropecuária;Agricultura;EGGY
Consumo não Cíclico;Agropecuária;Agricultura;SLCE
Consumo não Cíclico;Agropecuária;Agricultura;LAND
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;JALL
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;SMTO
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BRFS
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BAUH
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;JBSS
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;MRFG
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;BEEF
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;MNPR
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;CAML
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;JOPA
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;MDIA
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;ODER
Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes;ABEV
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;Produtos de Cuidado Pessoal;NTCO
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;Produtos de Limpeza;BOBR
Consumo não Cíclico;Comércio e Distribuição;Alimentos;ASAI
Consumo não Cíclico;Comércio e Distribuição;Alimentos;CRFB
Consumo não Cíclico;Comércio e Distribuição;Alimentos;EXCO
Consumo não Cíclico;Comércio e Distribuição;Alimentos;GMAT
Consumo não Cíclico;Comércio e Distribuição;Alimentos;PCAR
Consumo Cíclico;Construção Civil;Incorporações;AVLL
Consumo Cíclico;Construção Civil;Incorporações;CALI
Consumo Cíclico;Construção Civil;Incorporações;CURY
Consumo Cíclico;Construção Civil;Incorporações;CYRE
Consumo Cíclico;Construção Civil;Incorporações;DIRR
Consumo Cíclico;Construção Civil;Incorporações;EVEN
Consumo Cíclico;Construção Civil;Incorporações;EZTC
Consumo Cíclico;Construção Civil;Incorporações;FIEI
Consumo Cíclico;Construção Civil;Incorporações;GFSA
Consumo Cíclico;Construção Civil;Incorporações;HBOR
Consumo Cíclico;Construção Civil;Incorporações;INNC
Consumo Cíclico;Construção Civil;Incorporações;JHSF
Consumo Cíclico;Construção Civil;Incorporações;JFEN
Consumo Cíclico;Construção Civil;Incorporações;KLAS
Consumo Cíclico;Construção Civil;Incorporações;LAVV
Consumo Cíclico;Construção Civil;Incorporações;MELK
Consumo Cíclico;Construção Civil;Incorporações;MTRE
Consumo Cíclico;Construção Civil;Incorporações;MDNE
Consumo Cíclico;Construção Civil;Incorporações;MRVE
Consumo Cíclico;Construção Civil;Incorporações;PDGR
Consumo Cíclico;Construção Civil;Incorporações;PLPL
Consumo Cíclico;Construção Civil;Incorporações;RDNI
Consumo Cíclico;Construção Civil;Incorporações;RSID
Consumo Cíclico;Construção Civil;Incorporações;TCSA
Consumo Cíclico;Construção Civil;Incorporações;TEGA
Consumo Cíclico;Construção Civil;Incorporações;TEND
Consumo Cíclico;Construção Civil;Incorporações;TRIS
Consumo Cíclico;Construção Civil;Incorporações;VIVR
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CEDO
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTNM
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;DOHL
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CATA
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTKA
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;PTNT
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;CTSA
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;SGPS
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;TEKA
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;TXRX
Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;TFCO
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;ALPA
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;CAMB
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;GRND
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;VULC
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;MNDL
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;TECN
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;VIVA
Consumo Cíclico;Utilidades Domésticas;Eletrodomésticos;WHRL
Consumo Cíclico;Utilidades Domésticas;Móveis;MBLY
Consumo Cíclico;Utilidades Domésticas;Móveis;UCAS
Consumo Cíclico;Utilidades Domésticas;Móveis;WEST
Consumo Cíclico;Utilidades Domésticas;Utensílios Domésticos;HETA
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;MYPK
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;LEVE
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;PLAS
Consumo Cíclico;Hoteis e Restaurantes;Hotelaria;HOOT
Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;MEAL
Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;ZAMP
Consumo Cíclico;Viagens e Lazer;Bicicletas;BMKS
Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;ESTR
Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;AHEB
Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;SHOW
Consumo Cíclico;Viagens e Lazer;Viagens e Turismo;CVCB
Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;SMFT
Consumo Cíclico;Diversos;Serviços Educacionais;ANIM
Consumo Cíclico;Diversos;Serviços Educacionais;BAHI
Consumo Cíclico;Diversos;Serviços Educacionais;COGN
Consumo Cíclico;Diversos;Serviços Educacionais;CSED
Consumo Cíclico;Diversos;Serviços Educacionais;SEER
Consumo Cíclico;Diversos;Serviços Educacionais;VTRU
Consumo Cíclico;Diversos;Serviços Educacionais;YDUQ
Consumo Cíclico;Diversos;Aluguel de carros;RENT
Consumo Cíclico;Diversos;Aluguel de carros;MSRO
Consumo Cíclico;Diversos;Aluguel de carros;MOVI
Consumo Cíclico;Diversos;Aluguel de carros;VAMO
Consumo Cíclico;Diversos;Programas de Fidelização;DOTZ
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;AZZA
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;CEAB
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;CGRA
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;GUAR
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;AMAR
